"Spp","Long","Lat"
"Caiman latirostris",-54.439573,-25.703103
"Caiman latirostris",-57.54,-30.89
"Caiman latirostris",-58.14763,-25.16076
"Caiman latirostris",-58.13213,-25.17163
"Caiman latirostris",-58.15032,-25.16042
"Caiman latirostris",-58.13168,-25.17189
"Caiman latirostris",-58.13145,-25.17172
"Caiman latirostris",-58.15395,-25.1607
"Caiman latirostris",-58.03075,-28.01637
"Caiman latirostris",-57.99871,-27.99107
"Caiman latirostris",-58.07024,-28.03096
"Caiman latirostris",-58.10922,-28.03697
"Caiman latirostris",-58.04446,-28.01565
"Caiman latirostris",-63.62869,-22.65419
"Caiman latirostris",-54.4167,-25.7167
"Caiman latirostris",-58.944167,-26.181389
"Caiman latirostris",-35.303244,-5.705967
"Caiman latirostris",-39.85,-18.73333
"Caiman latirostris",-54.38333,-30.25
"Caiman latirostris",-43.23333,-22.9
"Caiman latirostris",-34.9,-8.05
"Caiman latirostris",-47.302575,-21.273517
"Caiman latirostris",-56.813186,-27.701562
"Caiman latirostris",-43.172896,-22.906847
"Caiman latirostris",-57.464539,-28.365505
"Caiman latirostris",-47.523048,-22.413443
"Caiman latirostris",-60.707226,-32.115966
"Caiman latirostris",-54.442134,-25.680449
"Caiman latirostris",-42.770326,-22.453452
"Caiman latirostris",-57.19851,-28.542983
"Caiman latirostris",-54.465774,-25.643039
"Caiman latirostris",-60.656435,-32.118103
"Caiman latirostris",-48.446083,-27.429528
"Caiman latirostris",-59.235094,-28.503392
"Caiman latirostris",-40.259411,-20.259162
"Caiman latirostris",-54.446033,-25.687647
"Caiman latirostris",-54.465811,-25.643038
"Caiman latirostris",-40.258975,-20.258577
"Caiman latirostris",-57.096818,-28.542214
"Caiman latirostris",-48.251186,-20.975642
"Caiman latirostris",-54.445827,-25.696304
"Caiman latirostris",-57.84337,-31.23144
"Caiman latirostris",-40.260183,-20.2582
"Caiman latirostris",-57.932057,-31.393582
"Caiman latirostris",-43.369309,-22.997729
"Caiman latirostris",-60.721389,-32.279833
"Caiman latirostris",-60.63406,-32.1216
"Caiman latirostris",-47.559621,-22.410765
"Caiman latirostris",-43.074153,-22.937655
"Caiman latirostris",-54.467988,-25.69238
"Caiman latirostris",-54.54877,-25.603416
"Caiman latirostris",-40.259215,-20.259186
"Caiman latirostris",-40.25913,-20.258882
"Caiman latirostris",-54.441473,-25.69116
"Caiman latirostris",-60.439816,-31.69714
"Caiman latirostris",-40.260031,-20.258087
"Caiman latirostris",-56.906305,-27.856339
"Caiman latirostris",-56.906252,-27.856434
"Caiman latirostris",-56.801217,-29.150304
"Caiman latirostris",-50.633333,-21.25
"Caiman latirostris",-40.259623,-20.257292
"Caiman latirostris",-40.259452,-20.257393
"Caiman latirostris",-34.898607,-8.067847
"Caiman latirostris",-40.259699,-20.257876
"Caiman latirostris",-40.242067,-20.231366
"Caiman latirostris",-40.259345,-20.258047
"Caiman latirostris",-40.2594,-20.259054
"Caiman latirostris",-40.259538,-20.255903
"Caiman latirostris",-40.258615,-20.258191
"Caiman latirostris",-42.03932,-22.426389
"Caiman latirostris",-57.184544,-28.537673
"Caiman latirostris",-40.258872,-20.258158
"Caiman latirostris",-42.039793,-22.425819
"Caiman latirostris",-39.256019,-12.431332
"Caiman latirostris",-37.248472,-9.603898
"Caiman latirostris",-48.46768,-27.428155
"Caiman latirostris",-47.523067,-22.413458
"Caiman latirostris",-47.554247,-24.70982
"Caiman latirostris",-42.772976,-22.449813
"Caiman latirostris",-58.191989,-31.975873
"Caiman latirostris",-54.436666,-25.695259
"Caiman latirostris",-47.770064,-21.030599
"Caiman latirostris",-57.581281,-31.1553
"Caiman latirostris",-57.991254,-31.221469
"Caiman latirostris",-47.778303,-20.930584
"Caiman latirostris",-57.151988,-28.795947
"Caiman latirostris",-52.186859,-32.170137
"Caiman latirostris",-51.094825,-31.324768
"Caiman latirostris",-57.609483,-30.213823
"Caiman latirostris",-60.661754,-28.455975
"Caiman latirostris",-54.456278,-25.690901
"Caiman latirostris",-43.040295,-22.954733
"Caiman latirostris",-57.429953,-28.655894
"Caiman latirostris",-35.223515,-5.930694
"Caiman latirostris",-56.90626,-27.857268
"Caiman latirostris",-35.200236,-8.095038
"Caiman latirostris",-59.220257,-27.422954
"Caiman latirostris",-57.308676,-28.744259
"Caiman latirostris",-57.350956,-28.637819
"Caiman latirostris",-59.036298,-31.172046
"Caiman latirostris",-52.574505,-23.365592
"Caiman latirostris",-52.538749,-32.538853
"Caiman latirostris",-57.369635,-28.739488
"Caiman latirostris",-56.869457,-27.820152
"Caiman latirostris",-56.905083,-27.857159
"Caiman latirostris",-50.643066,-30.521018
"Caiman latirostris",-58.245624,-31.868885
"Caiman latirostris",-40.260181,-20.258198
"Caiman latirostris",-42.772815,-22.448745
"Caiman latirostris",-35.193082,-8.106387
"Caiman latirostris",-42.773027,-22.448598
"Caiman latirostris",-40.396155,-20.202717
"Caiman latirostris",-55.131366,-29.062669
"Caiman latirostris",-35.198666,-8.098844
"Caiman latirostris",-57.616343,-30.228983
"Caiman latirostris",-43.040252,-22.95398
"Caiman latirostris",-58.245213,-31.834693
"Caiman latirostris",-54.444351,-25.68873
"Caiman latirostris",-40.259101,-20.258945
"Caiman latirostris",-48.51622,-27.589075
"Caiman latirostris",-45.229745,-22.781089
"Caiman latirostris",-54.520769,-25.61994
"Caiman latirostris",-42.226796,-14.504021
"Caiman latirostris",-54.444233,-25.685288
"Caiman latirostris",-54.600403,-25.9578
