"Spp","Long","Lat"
"Caiman yacare",-57.252,-23.794
"Caiman yacare",-57.965,-26.606
"Caiman yacare",-57.3333333,-28.4166667
"Caiman yacare",-64.3,-13.38
"Caiman yacare",-64.5,-13.14
"Caiman yacare",-58.9441667,-26.1813889
"Caiman yacare",-56.6944,-20.1319
"Caiman yacare",-56.622778,-16.256944
"Caiman yacare",-55.965729,-20.095917
"Caiman yacare",-55.863293,-16.346006
"Caiman yacare",-57.039085,-19.545879
"Caiman yacare",-56.304588,-20.266062
"Caiman yacare",-56.994366,-19.579887
"Caiman yacare",-56.974068,-19.484476
"Caiman yacare",-56.693962,-16.483166
"Caiman yacare",-57.158348,-28.290049
"Caiman yacare",-56.980591,-19.730513
"Caiman yacare",-63.197418,-17.78879
"Caiman yacare",-58.05891,-28.02412
"Caiman yacare",-58.10311,-28.03739
"Caiman yacare",-58.06131,-28.02175
"Caiman yacare",-58.10922,-28.03697
"Caiman yacare",-58.06189,-28.02859
"Caiman yacare",-58.01948,-28.01315
"Caiman yacare",-58.03315,-28.01044
"Caiman yacare",-58.03075,-28.01637
"Caiman yacare",-58.05891,-28.02441
"Caiman yacare",-58.10915,-28.03629
"Caiman yacare",-58.04703,-28.01157
"Caiman yacare",-58.0624,-28.02959
"Caiman yacare",-58.0186,-27.97665
"Caiman yacare",-58.01699,-27.99993
"Caiman yacare",-58.10773,-28.06502
"Caiman yacare",-58.05846,-28.02197
"Caiman yacare",-58.10042,-28.07239
"Caiman yacare",-58.11364,-28.05544
"Caiman yacare",-58.10925,-28.0366
"Caiman yacare",-58.01072,-27.97142
"Caiman yacare",-58.09562,-28.00261
"Caiman yacare",-58.10552,-28.01224
"Caiman yacare",-58.01689,-27.99385
"Caiman yacare",-58.04422,-27.98505
"Caiman yacare",-58.08817,-28.0258
"Caiman yacare",-58.01809,-28.01502
"Caiman yacare",-58.01099,-27.97492
"Caiman yacare",-58.10918,-28.0366
"Caiman yacare",-58.00865,-27.99699
"Caiman yacare",-58.08826,-28.03057
"Caiman yacare",-58.06413,-28.0234
"Caiman yacare",-58.944167,-26.181389
"Caiman yacare",-57.252,-23.794
"Caiman yacare",-56.823966,-27.752764
"Caiman yacare",-64.933158,-13.760592
"Caiman yacare",-57.17993,-28.516106
"Caiman yacare",-57.189691,-28.520928
"Caiman yacare",-57.180636,-28.545177
"Caiman yacare",-56.958913,-17.031311
"Caiman yacare",-55.274538,-19.245063
"Caiman yacare",-56.951352,-16.98418
"Caiman yacare",-56.846354,-16.810718
"Caiman yacare",-56.734783,-16.620539
"Caiman yacare",-56.661204,-16.389285
